State_ID,State_Label,N_Samples,Centroid_Dim_1,Centroid_Dim_2,Centroid_Dim_3,Centroid_Dim_4,Centroid_Dim_5,Centroid_Dim_6,Centroid_Dim_7,Centroid_Dim_8,Centroid_Dim_9,Centroid_Dim_10
0,DEEP REST,34793,-0.005632332060486078,0.26647859811782837,-0.6162422299385071,-0.011472038924694061,-0.23930667340755463,-0.08084816485643387,0.5080840587615967,0.4165813624858856,-0.2380923330783844,-0.02295732870697975
1,SOFT BURST,16455,0.001115831546485424,0.12271694093942642,-0.6192705631256104,0.121014304459095,-0.254736989736557,-0.08943802863359451,0.5058557987213135,0.4026077091693878,-0.24908587336540222,-0.011314941570162773
2,INTENSE BURST,15646,-0.06093730032444,0.13735051453113556,-0.5864812135696411,-0.04445337876677513,-0.27386483550071716,-0.0717274397611618,0.5029579997062683,0.4360422194004059,-0.244288370013237,0.017025595530867577
3,BASELINE,25909,-0.02962677925825119,0.21683594584465027,-0.6244500875473022,0.013364085927605629,-0.22823737561702728,-0.18331897258758545,0.502151608467102,0.3879840672016144,-0.24361534416675568,-0.010305210947990417
4,SOCIAL PLAY,20811,-0.017138129100203514,0.1725081205368042,-0.6027262210845947,-0.1838562786579132,-0.25235339999198914,-0.017100995406508446,0.5150659680366516,0.45475247502326965,-0.2499428391456604,0.012509938329458237
5,SOFT BURST (1),34190,-0.013208976946771145,0.06881735473871231,-0.6160998344421387,-0.11000565439462662,-0.24844609200954437,-0.165982186794281,0.5037386417388916,0.4226675033569336,-0.2567201256752014,-0.012839458882808685
6,BASELINE (1),35151,-0.018722984939813614,0.22946186363697052,-0.6021103858947754,0.007418280467391014,-0.245728000998497,-0.10856302082538605,0.517875075340271,0.4409092366695404,-0.24815377593040466,-0.008252289146184921
7,SCAN BURST,33471,-0.015296570025384426,0.19832231104373932,-0.6257034540176392,-0.1701652556657791,-0.21030448377132416,-0.09298287332057953,0.513508677482605,0.4132682979106903,-0.24501004815101624,-0.0015680327778682113
