,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50
Type_1,2.1600704367264334,1.7860905791090105,1.3515515948348418,1.1338172219833569,1.0604789271555708,0.8373811631274577,0.6718845545914791,0.4790520908443889,0.34679152862730744,0.2516550171070666,0.15186682766584786,0.08469320857884001,0.012073136361351641,0.11542152590149493,-0.18600760517179205,-0.43868599650473666,-0.61705593379027,-0.7417765086967192,-0.861782118923755,-0.9714389022920402,-0.9917823629234039,-0.838565631129209,-0.7796618459613216,-0.56121297065834,-0.39401392885642195,-0.3699098834360517,-0.3485631933118365,-0.2865973905402508,-0.39165168942510176,-0.46399346251081186,-0.3408436376649146,-0.3125755712561362,-0.27010383708560426,-0.21955145153586333,-0.1631022939944154,-0.07025679211828759,0.027114591586570112,-0.011574388863653043,0.0764669731027922,0.011978517224600735,0.05437088749894626,-0.0246756534547269,-0.23228675588003178,0.05412626357829392,0.022037976684984306,0.09399421775171907,0.05129496010677233,-0.020945686631532,-0.017361228026462963,0.09176452049470613
Type_2,-0.014813937892896936,0.006001903735195081,0.0037649516617427655,-0.010587020162060982,0.01576331968489788,0.005355810027705993,-0.01950343763958929,-0.03050229300166102,-0.05195919720081882,-0.09103473307023224,-0.06356056220173747,-0.052806735304444914,-0.09147721787138624,-0.08242101144096498,-0.0731214023792002,-0.057462141991185996,-0.020717709278152793,0.06730929318310193,0.0734604308079125,0.03777908305975909,0.012773194713926905,0.02454553017375831,0.060846181062569664,0.04895234412754597,0.017002442499692495,0.02157261835300429,0.029239844231937786,0.04638891718473293,0.04641510280743601,0.05519378308612734,0.044868557263790576,0.03165362551861055,0.005478415362723275,0.026549738234382753,0.024778833250646958,0.014794146199975329,0.01531995618734932,0.03888495859257476,0.004253868617153281,-0.0399603444863671,-0.041707398415175914,-0.021428319183595973,0.01577748136978895,0.07997354377659728,0.051580515219572035,-0.008598205013876939,-0.050076134214440356,-0.07096603446712807,-0.04751085566083332,0.013936300881464136
Type_3,-1.1463400008107973,-1.1821633391820314,-1.1872568996825346,-1.158906076494044,-1.1683855691687284,-1.0906884613818024,-1.054089641567009,-0.9914025273588688,-0.9830539507867597,-0.9633797206718487,-0.8635757396495232,-0.7269625294113761,-0.5304124820219922,-0.41048323395055764,-0.3537642695834289,-0.4375586961903651,-0.42849536474697825,-0.3993064062383615,-0.34069565778948374,-0.3451040581376907,-0.3099413780509658,-0.1486985894384501,-0.026807645817677382,0.07650949365197972,0.20070574713889724,0.2797097229428787,0.24372713714974167,0.3045560133914215,0.25853619900787694,0.3685584701443368,0.46832662169959866,0.43101094579016525,0.38745548580039463,0.39736371165392015,0.5192804683272315,0.6553156078503527,0.7082902644512731,0.78819083219155,0.7868543027371298,0.7680070583841777,0.7767774245261517,0.7849942187625563,0.7404977073220139,0.8082478372756965,0.8422233611236771,0.8303355926878544,0.8123824920062903,0.8372519852827442,0.9997212040420446,1.1726423327893252
Type_4,0.9956866421820526,0.9263633249369185,0.7464802424887926,0.7322924777975018,0.7110513408435494,0.6640646032354256,0.7117820039952071,0.760213919024383,0.8675755130690069,0.8542892191806193,0.8183188063414247,0.852514153689624,0.8300335548573017,0.825563536044065,0.7238129497968071,0.6533580815450231,0.5180116902953338,0.5359697358031179,0.42993806090545983,0.3675211641785499,0.3788565601909927,0.3975596496017149,0.22860990407488163,0.17279700159222486,0.14921262538944616,0.10602374987114124,0.008526813407461396,-0.09597944666973707,-0.27490999089555446,-0.33085233075255693,-0.3325113062908201,-0.6428746800040152,-0.6006559606352311,-0.560311472921428,-0.6559759129912076,-0.6886085870855542,-0.7623384343270531,-0.8567257546227391,-0.8399652523532164,-0.8032266969261768,-0.7739389308169938,-0.7972867636037545,-0.9102999957571973,-0.9967584888609238,-0.9637302137214865,-0.9409500741992024,-0.8784664713540967,-0.8696125337830413,-0.7299765198203068,-0.6604715059457684
